"Emails","Como você avalia a sua experiência na tela de Personalização de Ofertas?","","","","","Qual o motivo da sua nota?","Timestamp","URL","Country","Device","OS","Browser","Visitor Attributes"
"","Muito Insatisfeito","Insatisfeito","Neutro","Satisfeito","Muito Satisfeito","",""
"n/a","","Y","","","","","24/09/24 12:17","https://wwws.portoseguro.com.br/porto.auto.cotacao/#/ofertas/+JyE2UJ52YWTsd0lgXRTBg/0","Brazil","Other","Windows","Chrome",""""""
"n/a","","","","Y","","pra mim tá tranquilo","24/09/24 12:14","https://wwws.portoseguro.com.br/porto.auto.cotacao/#/ofertas/IpsQpfG7ZucjBHy5ZKpKGg/0","","","","",""""""
"n/a","","","","Y","","As vezes é confuso","24/09/24 12:14","https://wwws.portoseguro.com.br/porto.auto.cotacao/#/oferta/ZF2ibaq0RgJd+Def4qJMcQ/1/0/1","Brazil","Other","Windows","Chrome",""""""
"n/a","","","","Y","","","24/09/24 12:14","https://wwws.portoseguro.com.br/porto.auto.cotacao/#/oferta/qwdVALadFcNOhXNLab7VXQ/5/3/1","","","","",""""""
"n/a","","","","Y","","","24/09/24 12:13","https://wwws.portoseguro.com.br/porto.auto.cotacao/#/oferta/ilNiJIkqyM_6mO7vux6K4g/1/7/1","","","","",""""""
"n/a","","","Y","","","","24/09/24 12:13","https://wwws.portoseguro.com.br/porto.auto.cotacao/#/oferta/YGgyGlvaYkq4uy2cK4kzrA/5/14/1","Brazil","Other","Windows","Chrome",""""""
"n/a","Y","","","","","Nada Pratica. Muito confusa","24/09/24 12:13","https://wwws.portoseguro.com.br/porto.auto.cotacao/#/oferta/rkX++kYhfaMW7WAwwwjkxQ/1/1/1","Brazil","Other","Windows","Chrome",""""""
"n/a","","","","","Y","","24/09/24 12:12","https://wwws.portoseguro.com.br/porto.auto.cotacao/#/oferta/YylefsuhiGuiwjg8+1hitA/5/0/1","","","","",""""""
"n/a","","Y","","","","sISTEMA COMPLEXO PARA MUDANÇAS DE INFORMAÇÕES E CLAREZA DAS MESMAS.","24/09/24 12:11","https://wwws.portoseguro.com.br/porto.auto.cotacao/#/oferta/cmVfi0VVSmkDLoZ+AXjkCg/3/0/1","United States","Other","Windows","Chrome",""""""
"n/a","Y","","","","","","24/09/24 12:10","https://wwws.portoseguro.com.br/porto.auto.cotacao/#/oferta/GfatJcGTiYcwuxVT3Db6iw/1/1/1","Brazil","Other","Windows","Chrome",""""""
"n/a","","","","Y","","9","24/09/24 12:09","https://wwws.portoseguro.com.br/porto.auto.cotacao/#/oferta/Z2ubqGbIJOe2iXRvQwe2Uw/4/0/1","Brazil","Other","Windows","Chrome",""""""
"n/a","","","Y","","","","24/09/24 12:08","https://wwws.portoseguro.com.br/porto.auto.cotacao/#/oferta/vOmSnAck17cTZ7mSwq4IVA/6/0/1","Brazil","Other","Windows","Chrome",""""""
"n/a","","","Y","","","9","24/09/24 12:07","https://wwws.portoseguro.com.br/porto.auto.cotacao/#/oferta/Wl9sv7zt9_LZkXMQe5PTeA/1/2/1","","","","",""""""
"n/a","","","","Y","","","24/09/24 12:07","https://wwws.portoseguro.com.br/porto.auto.cotacao/#/oferta/lM1FkHZ+qoA05gsyK8aTZQ/1/1/1","Brazil","Other","Windows","Edge",""""""
"n/a","","","","Y","","Acho que poderiamos ter a disponibilidade de usar outras abas de cotação diferente simultânea","24/09/24 12:06","https://wwws.portoseguro.com.br/porto.auto.cotacao/#/oferta/7yNJ74nY6oGBQ3snoJVIOA/1/2/1","","","","",""""""
"n/a","","","","","Y","","24/09/24 12:06","https://wwws.portoseguro.com.br/porto.auto.cotacao/#/oferta/bimjU_OdW0S91l2DfRJG1w/2/1/1","Brazil","Other","Windows","Chrome",""""""
"n/a","","","","Y","","","24/09/24 12:06","https://wwws.portoseguro.com.br/porto.auto.cotacao/#/oferta/JWD6UiiV8JUPoMFC1DLUCg/3/0/1","","","","",""""""
"n/a","","","","Y","","","24/09/24 12:05","https://wwws.portoseguro.com.br/porto.auto.cotacao/#/oferta/Duc17u0UOPlIEuHp57hwQQ/1/0/1","Brazil","Other","Windows","Chrome",""""""
"n/a","","","","","Y","","24/09/24 12:05","https://wwws.portoseguro.com.br/porto.auto.cotacao/#/oferta/p+nwQgtfzTyYCr84CZdT0A/5/0/1","Brazil","Other","Windows","Chrome",""""""
"n/a","Y","","","","","O sistema esta com muitos erros, demorando demais  ","24/09/24 12:05","https://wwws.portoseguro.com.br/porto.auto.cotacao/#/oferta/1imo_HnDSi1BlP_Ih7yNmg/2/3/1","","","","",""""""
"n/a","","","","Y","","","24/09/24 12:04","https://wwws.portoseguro.com.br/porto.auto.cotacao/#/oferta/7WJ_IC3yKp+G4_ipLaBCJQ/5/0/1","Brazil","Other","Windows","Chrome",""""""
"n/a","","Y","","","","","24/09/24 12:03","https://wwws.portoseguro.com.br/porto.auto.cotacao/#/oferta/fb6riBIoG9b0tuxcXI8ltw/1/0/1","Brazil","Other","Windows","Chrome",""""""
"n/a","","Y","","","","","24/09/24 12:03","https://wwws.portoseguro.com.br/porto.auto.cotacao/#/oferta/RD+7Dhxt0JnLMEIo9jVStw/2/1/1","","","","",""""""
"n/a","","Y","","","","seria mais prático se pudessemos parametrizar logo na primeira tela, do que ter que entrar e volta de uma a uma ","24/09/24 12:03","https://wwws.portoseguro.com.br/porto.auto.cotacao/#/oferta/80aKAFqtGKoVCLkludvIvQ/1/4/1","Brazil","Other","Windows","Chrome",""""""
"n/a","","","Y","","","","24/09/24 12:02","https://wwws.portoseguro.com.br/porto.auto.cotacao/#/oferta/RodGYwQ2E9ni_rU2djuX6w/1/1/1","","","","",""""""
"n/a","","","","Y","","","24/09/24 12:01","https://wwws.portoseguro.com.br/porto.auto.cotacao/#/oferta/TKIWiCv8Aq3TfO0Ag2HbWg/4/0/1","Brazil","Other","Windows","Chrome",""""""
"n/a","Y","","","","","ficou pratico","24/09/24 11:59","https://wwws.portoseguro.com.br/porto.auto.cotacao/#/oferta/KycrgUbO6JtyueRD8ayEMA/9/0/1","","","","",""""""
"n/a","Y","","","","","","24/09/24 11:59","https://wwws.portoseguro.com.br/porto.auto.cotacao/#/oferta/eSJnpxTomvpt5H7dyKukEA/6/1/1","Brazil","Other","Windows","Chrome",""""""
"n/a","","","","","Y","","24/09/24 11:58","https://wwws.portoseguro.com.br/porto.auto.cotacao/#/oferta/dSwudUtsRN0WlfazA4BL_A/1/3/1","Brazil","Other","Windows","Chrome",""""""
"n/a","","","","Y","","Nada que desabone","24/09/24 11:58","https://wwws.portoseguro.com.br/porto.auto.cotacao/#/oferta/aV_iVKcxya9Dgk0h+QGh6Q/1/1/1","","","","",""""""
"n/a","","","Y","","","0","24/09/24 11:55","https://wwws.portoseguro.com.br/porto.auto.cotacao/#/oferta/OL6iza_4PGT0TUQ4aJVSbQ/2/0/1","","","","",""""""
"n/a","","","","","Y","","24/09/24 11:55","https://wwws.portoseguro.com.br/porto.auto.cotacao/#/oferta/ZhnDCyBtEMtQw14YqmA0uQ/1/1/1","","","","",""""""
"n/a","Y","","","","","melhorando, cada vez más...","24/09/24 11:55","https://wwws.portoseguro.com.br/porto.auto.cotacao/#/oferta/x0PU6Kc45hDCCzQ6O6gZvQ/1/0/1","","","","",""""""
"n/a","","","","Y","","","24/09/24 11:55","https://wwws.portoseguro.com.br/porto.auto.cotacao/#/oferta/gIIAqvAU9OFVHREYid+vHQ/6/0/1","Brazil","Other","Windows","Edge",""""""
"n/a","Y","","","","","","24/09/24 11:54","https://wwws.portoseguro.com.br/porto.auto.cotacao/#/oferta/565DqBqE+auHJCv6QjeQTA/6/0/1","Brazil","Other","Windows","Chrome",""""""
"n/a","Y","","","","","","24/09/24 11:54","https://wwws.portoseguro.com.br/porto.auto.cotacao/#/ofertas/JzfyxxeQGTvkK1jk_zWEZQ/1","","","","",""""""
"n/a","","","","Y","","","24/09/24 11:53","https://wwws.portoseguro.com.br/porto.auto.cotacao/#/oferta/RhEqiph+U9chPnOHdOjE9A/5/5/1","","","","",""""""
"n/a","","","","Y","","","24/09/24 11:53","https://wwws.portoseguro.com.br/porto.auto.cotacao/#/oferta/JyqJx7em1y4gTFOPmn0SHA/2/0/1","","","","",""""""
"n/a","Y","","","","","","24/09/24 11:53","https://wwws.portoseguro.com.br/porto.auto.cotacao/#/oferta/nt2xp7ecjYT64z13vnNJqA/2/0/1","","","","",""""""
"n/a","","","","Y","","","24/09/24 11:53","https://wwws.portoseguro.com.br/porto.auto.cotacao/#/oferta/+xCIK2GfNXkHGWPf5X0DzQ/1/0/1","Portugal","Other","Windows","Chrome",""""""
"n/a","","Y","","","","","24/09/24 11:52","https://wwws.portoseguro.com.br/porto.auto.cotacao/#/oferta/fdAvycHupx6V9BYBtUPHMQ/1/1/1","Brazil","Other","Windows","Chrome",""""""
"n/a","Y","","","","","10","24/09/24 11:51","https://wwws.portoseguro.com.br/porto.auto.cotacao/#/oferta/Qof7ICxz9Jjak2ycUtP+jQ/1/0/1","","","","",""""""
"n/a","","","","Y","","","24/09/24 11:50","https://wwws.portoseguro.com.br/porto.auto.cotacao/#/oferta/5cj7swi1VZTjAcqCkuY+vQ/2/0/1","Brazil","Other","Windows","Chrome",""""""
"n/a","","","","Y","","As vezes gera confusão em razão do excesso de detalhamento das informações
","24/09/24 11:50","https://wwws.portoseguro.com.br/porto.auto.cotacao/#/oferta/NuqMCuvAhss5nmehn8RETQ/7/0/1","","","","",""""""
"n/a","","","","","Y","","24/09/24 11:49","https://wwws.portoseguro.com.br/porto.auto.cotacao/#/oferta/3vN3X3n38X+LmXc9o_398Q/1/0/1","","","","",""""""
"n/a","","","","","Y","","24/09/24 11:48","https://wwws.portoseguro.com.br/porto.auto.cotacao/#/oferta/0vNkfl5riDOoHlJHNNjZQQ/6/0/1","Brazil","Other","Windows","Chrome",""""""
"n/a","Y","","","","","Sistema instavel e de dificil compreensão ","24/09/24 11:48","https://wwws.portoseguro.com.br/porto.auto.cotacao/#/oferta/BZD4xKktjS1qzxHnfU_66w/1/0/1","","","","",""""""
"n/a","","Y","","","","ruimmmmmmmmmmmmmm","24/09/24 11:48","https://wwws.portoseguro.com.br/porto.auto.cotacao/#/oferta/VtkXZuGUWPwaOcqks_cZbw/5/1/1","Brazil","Other","Windows","Chrome",""""""
